numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
1;auspol2019;ClosedHash_Quad_UserID;130449;1823
1;auspol2019;ClosedHash_Quad_ScreenName;10000;1358
1;auspol2019;ClosedHash_Quad_ScreenName;20000;2534
1;auspol2019;ClosedHash_Quad_ScreenName;30000;3609
1;auspol2019;ClosedHash_Quad_ScreenName;40000;4660
1;auspol2019;ClosedHash_Quad_ScreenName;50000;5711
1;auspol2019;ClosedHash_Quad_ScreenName;60000;6736
1;auspol2019;ClosedHash_Quad_ScreenName;70000;7719
1;auspol2019;ClosedHash_Quad_ScreenName;80000;8695
1;auspol2019;ClosedHash_Quad_ScreenName;90000;9672
1;auspol2019;ClosedHash_Quad_ScreenName;100000;10643
1;auspol2019;ClosedHash_Quad_ScreenName;110000;11696
1;auspol2019;ClosedHash_Quad_ScreenName;120000;12712
1;auspol2019;ClosedHash_Quad_ScreenName;130000;13705
1;auspol2019;ClosedHash_Quad_ScreenName;130449;13753
1;auspol2019;ClosedHash_Double_UserID;10000;113
1;auspol2019;ClosedHash_Double_UserID;20000;253
1;auspol2019;ClosedHash_Double_UserID;30000;396
1;auspol2019;ClosedHash_Double_UserID;40000;540
1;auspol2019;ClosedHash_Double_UserID;50000;683
1;auspol2019;ClosedHash_Double_UserID;60000;821
1;auspol2019;ClosedHash_Double_UserID;70000;939
1;auspol2019;ClosedHash_Double_UserID;80000;1048
1;auspol2019;ClosedHash_Double_UserID;90000;1160
1;auspol2019;ClosedHash_Double_UserID;100000;1267
1;auspol2019;ClosedHash_Double_UserID;110000;1445
1;auspol2019;ClosedHash_Double_UserID;120000;1598
1;auspol2019;ClosedHash_Double_UserID;130000;1744
1;auspol2019;ClosedHash_Double_UserID;130449;1755
1;auspol2019;ClosedHash_Double_ScreenName;10000;1060
1;auspol2019;ClosedHash_Double_ScreenName;20000;2475
1;auspol2019;ClosedHash_Double_ScreenName;30000;3901
1;auspol2019;ClosedHash_Double_ScreenName;40000;5228
1;auspol2019;ClosedHash_Double_ScreenName;50000;6540
1;auspol2019;ClosedHash_Double_ScreenName;60000;7842
1;auspol2019;ClosedHash_Double_ScreenName;70000;9009
1;auspol2019;ClosedHash_Double_ScreenName;80000;10112
1;auspol2019;ClosedHash_Double_ScreenName;90000;11214
1;auspol2019;ClosedHash_Double_ScreenName;100000;12274
1;auspol2019;ClosedHash_Double_ScreenName;110000;13572
1;auspol2019;ClosedHash_Double_ScreenName;120000;14788
1;auspol2019;ClosedHash_Double_ScreenName;130000;15927
1;auspol2019;ClosedHash_Double_ScreenName;130449;15991
2;auspol2019;STL_UnorderedMap_UserID;10000;850
2;auspol2019;STL_UnorderedMap_UserID;20000;1585
2;auspol2019;STL_UnorderedMap_UserID;30000;2058
2;auspol2019;STL_UnorderedMap_UserID;40000;2532
2;auspol2019;STL_UnorderedMap_UserID;50000;3328
2;auspol2019;STL_UnorderedMap_UserID;60000;3735
2;auspol2019;STL_UnorderedMap_UserID;70000;4038
2;auspol2019;STL_UnorderedMap_UserID;80000;4347
2;auspol2019;STL_UnorderedMap_UserID;90000;4628
2;auspol2019;STL_UnorderedMap_UserID;100000;4919
2;auspol2019;STL_UnorderedMap_UserID;110000;5391
2;auspol2019;STL_UnorderedMap_UserID;120000;5786
2;auspol2019;STL_UnorderedMap_UserID;130000;6173
2;auspol2019;STL_UnorderedMap_UserID;130449;6198
2;auspol2019;STL_UnorderedMap_ScreenName;10000;1276
2;auspol2019;STL_UnorderedMap_ScreenName;20000;2422
2;auspol2019;STL_UnorderedMap_ScreenName;30000;3218
2;auspol2019;STL_UnorderedMap_ScreenName;40000;4017
2;auspol2019;STL_UnorderedMap_ScreenName;50000;5120
2;auspol2019;STL_UnorderedMap_ScreenName;60000;5867
2;auspol2019;STL_UnorderedMap_ScreenName;70000;6411
2;auspol2019;STL_UnorderedMap_ScreenName;80000;6968
2;auspol2019;STL_UnorderedMap_ScreenName;90000;7471
2;auspol2019;STL_UnorderedMap_ScreenName;100000;8008
2;auspol2019;STL_UnorderedMap_ScreenName;110000;8788
2;auspol2019;STL_UnorderedMap_ScreenName;120000;9480
2;auspol2019;STL_UnorderedMap_ScreenName;130000;10266
2;auspol2019;STL_UnorderedMap_ScreenName;130449;10303
2;auspol2019;OpenHash_UserID;10000;586
2;auspol2019;OpenHash_UserID;20000;1788
2;auspol2019;OpenHash_UserID;30000;2472
2;auspol2019;OpenHash_UserID;40000;3138
2;auspol2019;OpenHash_UserID;50000;3974
2;auspol2019;OpenHash_UserID;60000;4584
2;auspol2019;OpenHash_UserID;70000;4995
2;auspol2019;OpenHash_UserID;80000;5298
2;auspol2019;OpenHash_UserID;90000;5618
2;auspol2019;OpenHash_UserID;100000;5919
2;auspol2019;OpenHash_UserID;110000;6491
2;auspol2019;OpenHash_UserID;120000;6961
2;auspol2019;OpenHash_UserID;130000;7346
2;auspol2019;OpenHash_UserID;130449;7377
2;auspol2019;OpenHash_ScreenName;10000;1677
2;auspol2019;OpenHash_ScreenName;20000;3192
2;auspol2019;OpenHash_ScreenName;30000;4668
2;auspol2019;OpenHash_ScreenName;40000;6118
2;auspol2019;OpenHash_ScreenName;50000;7497
2;auspol2019;OpenHash_ScreenName;60000;8877
